,code,name,official_name,keph_level,facility_type,facility_type_category,owner,owner_type,regulatory_body,beds,cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,approved,public_visible,closed
2011,24503,The Marions Health Care,The Marions Health Care,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,4,0,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2012,24519,Translab Medical Clinic,Translab Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice- Pharmacist,Private Practice,Pharmacy & Poisons Board,0,0,Nairobi,Embakasi West,Embakasi West,Umoja I,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2013,24520,Silent Hill Medical,Silent Hill Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi West,Embakasi West,Mowlem,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2022,24489,Stima Afya Clinic Limited,Stima Afya Clinic Limited,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,None,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,No,No,Yes,Yes,No
2023,24500,Bizet Medical Clinic,Bizet Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,4,0,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2024,24488,Radiant Group Of Hospitals Kasarani Sportsview,Radiant Group Of Hospitals Kasarani Sportsview,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,100,0,Nairobi,Kasarani,Kasarani,Clay City,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2027,24485,St.Anne's  Mission Medical Centre,St.Anne's  Mission Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Institution Academic,Private Practice,None,0,0,Nairobi,Dagoretti North,Dagoretti North,Gatina,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2030,24482,DR S.N.Karau & Associates Clinic,Dr S N Karau & Associates Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,None,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,No,No,Yes,Yes,No
2052,24450,Frontline Medical Consultants limited,Frontline Medical Consultants limited,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Other,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
2053,24449,Dr Lang'o Medical clinic,Dr Lang'o Medical clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,Yes,No,Yes,Yes,No
2079,24417,Sapta Trust kawangware Dice,Sapta Trust Kawangware Dice,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Other,0,1,Nairobi,Dagoretti South,Dagoretti South,Riruta,Operational,No,No,No,No,Yes,Yes,No
2094,24423,Penda Medical Center- Kayole,Penda Medical Center(Kayole),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,9,0,Nairobi,Embakasi Central,Embakasi Central,Kayole North,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2113,24435,Three Bells Medical Center,Three Bells Medical Centre,Level 2,Dispensary,DISPENSARY,Private Practice - Clinical Officer,Private Practice,Pharmacy & Poisons Board,3,0,Nairobi,Embakasi West,Embakasi West,Umoja I,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2116,24403,IOM Migration Health Assessment Centre,IOM Migration Health Assessment Centre,Level 3,Medical Center,MEDICAL CENTER,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,Yes,No,No,Yes,Yes,No
2117,24410,City Point Medical Centre,City Point Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,California,Operational,No,Yes,Yes,No,Yes,Yes,No
2125,24374,Fairview Nursing Home Kware,Fairview Nursing Home Kware,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,8,0,Nairobi,Embakasi South,Embakasi South,Kware,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2136,24361,Dr .L.N.Gachare,Dr .L.N.Gachare,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,2,1,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,Yes,No,Yes,Yes,No
2137,24360,One Health Limited,One Health Limited,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,None,2,1,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,Yes,No,Yes,Yes,No
2195,24308,Santuary Rains Medical Centre-Kangemi,Santuary Rains Medical Centre-Kangemi,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Kangemi,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2212,24291,Starehe Healthcare Limited,Starehe Healthcare Limited,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,12,4,Nairobi,Kamukunji,Kamukunji,California,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2226,24278,Baby Blessing Medical Services,Baby Blessing Medical Services,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,10,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2228,24272,Mowlem Health Center,Mowlem Health Centre,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,1,Nairobi,Embakasi West,Embakasi West,Mowlem,Operational,No,No,No,No,Yes,Yes,No
2229,24270,Baldo Ippolita,Baldo Ippolita (Catholic) Health Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,4,1,Nairobi,Embakasi South,Embakasi South,Kware,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2248,24251,SAPTA KAYOLE,SAPTA KAYOLE,Level 2,Dispensary,DISPENSARY,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Embakasi Central,Embakasi Central,Kayole North,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2256,24243,BURHAN NURSING HOME,Burhani Nursing Home,Level 3,Basic Health Centre,HEALTH CENTRE,Private Practice- Pharmacist,Private Practice,None,4,0,Nairobi,Starehe,Starehe,Pangani,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2260,24238,Morry Medical Clinic,Morry Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0,0,Nairobi,Kasarani,Kasarani,Clay City,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2275,24218,Rema Medical Services-Mathare North,Rema Medical Services-Mathare North,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,None,0,0,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,No,Yes,No,No,Yes,Yes,No
2276,24217,SafiWays Health care,SafiWays Health care,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Lucky Summer,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2279,24214,ABDALLAH & ASSOCIATES DENTAL AND IMPLANT CENTRE,ABDALLAH & ASSOCIATES DENTAL AND IMPLANT CENTRE,Level 2,Dental Clinic,STAND ALONE,Private Practice - Medical Specialist,Private Practice,None,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
2286,24202,The Labib Hospital,The Labib Hospital,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,5,0,Nairobi,Kamukunji,Kamukunji,California,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2291,24198,Plaza Medical Centre(Kahawa West),Plaza Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Kahawa West,Operational,No,Yes,Yes,No,Yes,Yes,No
2302,24184,Valley View Dental and Implant Centre,Valley View Dental and Implant Centre,Level 2,Dental Clinic,STAND ALONE,Private Practice - Medical Specialist,Private Practice,None,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,No,Yes,No,Yes,Yes,No
2308,24174,RFH Health Care LTF-Embakasi Medical Clinic,RFH Health Care LTF-Embakasi Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,4,1,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2316,24167,Kenya Kazi Services,Kenya Kazi Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2332,24273,Raila BZ Community Clinic,Raila BZ Community Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,No,No,No,No,Yes,Yes,No
2335,24144,Jamii Wellness Hospital,Jamii Wellness Hospital,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,5,0,Nairobi,Embakasi West,Embakasi West,Kariobangi South,Operational,No,Yes,Yes,No,Yes,Yes,No
2385,24090,Noor Eyecare,Noor Eyecare,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,12,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,Yes,No,Yes,Yes,No
2400,24073,Jesse Kay Children Hospital,Jesse Kay Children's Hospital,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,46,2,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2412,24057,Harley Street Fertility Centre Kenya Ltd.,Harley Street Fertility Centre Kenya Ltd.,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,No,No,No,Yes,Yes,No
2453,24014,Phadam Hospital Nasra,Phadam Hospital Nasra,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,None,16,3,Nairobi,Embakasi Central,Embakasi Central,Komarock,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2454,24013,Phadam Hospital Umoja,Phadam Hospital Umoja,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,3,Nairobi,Embakasi West,Embakasi West,Umoja I,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2463,24003,"Nairobi Ear,Nose and Throat clinic","Nairobi Ear,Nose and Throat clinic",Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,1,1,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,Yes,No,Yes,Yes,No
2464,24002,Access Afya Kwa Reuben Clinic,Access Afya Kwa Reuben Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,2,0,Nairobi,Embakasi South,Embakasi South,Kwa Reuben,Operational,No,No,No,No,Yes,Yes,No
2465,24001,Rheema Hospital,Rheema Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,5,1,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2485,23985,Mediheal Hospital Eastleigh,Mediheal Hospital (Eastleigh),Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,None,70,5,Nairobi,Kamukunji,Kamukunji,Eastleigh South,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2487,23983,Penda Medical Centre -Zimmerman,Penda Medical Centre (Zimmerman),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,None,0,0,Nairobi,Roysambu,Roysambu,Zimmerman,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2521,23949,Cuspid LLP Dental Clinic,Cuspid LLP Dental Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,Yes,No,Yes,Yes,No
2529,23936,Arrow Dental Limited,Arrow Dental Limited,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,Yes,No,Yes,Yes,No
2538,23928,Alif  Medical Centre,Alif  Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Kamukunji,Kamukunji,Airbase,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2549,23947,Kenya Pipeline Staff Clinic,Kenya Pipeline Staff Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Viwandani,Operational,No,No,No,No,Yes,Yes,No
2558,23911,Ulimate Medical Care Service,Ulimate Medical Care Service,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Kasarani,Kasarani,Njiru,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2582,23886,Clinix Health Care,Clinix Health Care,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Pharmacy & Poisons Board,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,Yes,No,Yes,Yes,No
2587,23879,Oasis Mental Health Limited,Oasis Mental Health Limited,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,21,0,Nairobi,Westlands,Westlands,Kitisuru,Operational,Yes,No,No,No,Yes,Yes,No
2588,23878,Mao Aweys International Hospital Limited,Mao Aweys International Hospital Limited,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,12,0,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,No,No,No,No,Yes,Yes,No
2594,23873,Centurion Pharmacy Ltd,Centurion Pharmacy Ltd,Level 2,Pharmacy,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2595,23872,Portal Pharmacy Limited,Portal Pharmacy Limited,Level 2,Pharmacy,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2596,23871,Belladonna Pharmacy Ltd,Belladonna Pharmacy Ltd (village market),Level 2,Pharmacy,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2597,23870,Dan Pharmacy Ltd,Dan Pharmacy Ltd (Kangemi),Level 2,Pharmacy,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Kangemi,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2598,23869,TF MyChemist,TF MyChemist Oilibya (Parklands),Level 2,Pharmacy,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2599,23868,Malibu Pharmacy Ltd,Malibu Pharmacy Ltd,Level 2,Pharmacy,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2600,23867,Health AID Chemist,Health AID Chemist,Level 2,Pharmacy,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2601,23866,Gilead Pharmaceuticals Ltd,Gilead Pharmaceuticals Ltd,Level 2,Pharmacy,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,No,No,Yes,Yes,No
2603,23864,Malibu Pharmacy LTD (Moi Avenue),Malibu Pharmacy Limited (Moi Avenue),Level 2,Pharmacy,STAND ALONE,Private Practice - Private Institution Academic,Private Practice,None,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,Yes,Yes,Yes,No
2604,23863,Weston Pharmacy LTD,Weston Pharmacy LTD,Level 2,Pharmacy,STAND ALONE,Private Practice - Private Institution Academic,Private Practice,None,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,Yes,Yes,Yes,No
2605,23862,Portal Pharmacy,Portal Pharmacy,Level 2,Pharmacy,STAND ALONE,Private Practice- Pharmacist,Private Practice,None,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,Yes,Yes,Yes,No
2606,23861,Easton Pharmaceuticals,Easton Pharmacy (Uchumi House),Level 2,Pharmacy,STAND ALONE,Private Practice - Private Company,Private Practice,Pharmacy & Poisons Board,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,Yes,Yes,Yes,No
2611,23855,Drive-In Nursing Hospital-Ruaraka,Drive-In Nursing Hospital (Ruaraka),Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,None,30,0,Nairobi,Ruaraka,Ruaraka,Utalii,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2612,23854,Kamae CFW Clinic-Kahawa West,Kamae CFW Clinic-Kahawa West,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Roysambu,Roysambu,Kahawa West,Operational,No,Yes,Yes,No,Yes,Yes,No
2613,23853,Lifebridge Cottage Hospital,Lifebridge Cottage Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,20,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2614,23852,Royal Christian Church Dispensary,Royal Christian Church Dispensary,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,Yes,Yes,No,Yes,Yes,No
2617,23850,ACCESS AFYA KIAMBIU,Access Afya Kiambiu,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nairobi,Kamukunji,Kamukunji,Eastleigh South,Operational,No,No,No,No,Yes,Yes,No
2619,23848,InterContinental Nairobi Hotel Clinic,InterContinental Nairobi Hotel Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Clinical Officers Council,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
2642,23815,Amref Medical Centre Wilson Airport,Amref Medical Centre (Wilson Airport),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,Nairobi West,Operational,No,No,Yes,No,Yes,Yes,No
2664,23793,Gertrudes Childrens Hospital Junction Mall Clinic,Gertrudes Childrens Hospital Clinic (Junction Mall),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,1,1,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,Yes,Yes,No,Yes,Yes,No
2665,23792,Dr Cecelia Gathoni,Dr Cecelia Gathoni,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,None,1,1,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,Yes,No,Yes,Yes,No
2666,23791,Footsteps To Fertility centre,Footsteps To Fertility centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,2,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
2671,23786,NGARA MAT CLINIC,NGARA MAT CLINIC,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Ngara,Operational,No,No,No,No,Yes,Yes,No
2737,23719,Vebeneza Medical Clinic,Vebeneza Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,3,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2738,23718,Bahati Tassia Medical Centre,Bahati Tassia Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,10,1,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2739,23717,Sante-Reva Healthcare,Sante-Reva Healthcare,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Other,2,2,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
2741,23715,Equity Afya Tassia,Equity Afya Tassia,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,13,3,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2745,23710,Park Eye Centre,Park Eye Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,None,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,Yes,No,Yes,Yes,No
2746,23705,Isaan Medical Clinic,Isaan Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,3,1,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2784,23655,Rehnet Medical Centre,Rehnet Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,3,0,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,No,Yes,Yes,No,Yes,Yes,No
2869,23559,The Nairobi Hospital Warwick Outpatient Center,The Nairobi Hospital Warwick Outpatient Centre,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,Yes,Yes,No,Yes,Yes,No
2884,23549,Bliss GVS Healthcare Ltd,Bliss GVS Healthcare Ltd,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,Yes,No,Yes,Yes,No
2907,23517,The Mesu Centre,The Mesu Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,Yes,No,Yes,Yes,No
2913,23510,Exselle Health Care,Exselle Health Care,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,3,1,Nairobi,Embakasi East,Embakasi East,Upper Savannah,Operational,No,Yes,Yes,Yes,Yes,Yes,No
2916,23508,City Health Limited,City Health Limited,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
2933,23491,LVCT Health Kibagare,LVCT Health (Kibagare),Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Other,0,0,Nairobi,Westlands,Westlands,Kitisuru,Operational,No,No,Yes,No,Yes,Yes,No
2934,23490,Hashi Medical Centre Limited,Hashi Medical Centre Limited,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,5,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,Yes,Yes,No,Yes,Yes,No
2936,23488,Brain Spine and Rehabilitation,Brain Spine and Rehabilitation,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,12,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2938,23485,Meditest Diagnostic Services Limted,Meditest Diagnostic Services Limted,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,20,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,Yes,Yes,Yes,Yes,No
2940,23482,Mission Care Nursing Home,Mission Care Nursing Home,Level 3,Nursing Homes,NURSING HOME,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,22,4,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
2957,23467,SAPTA Trust(Githurai),SAPTA Trust(Githurai),Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Other,0,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,No,No,No,No,Yes,Yes,No
2979,23439,AAR Donholm,AAR Donholm,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,4,0,Nairobi,Embakasi East,Embakasi East,Upper Savannah,Operational,No,Yes,Yes,No,Yes,Yes,No
2981,23438,City Jacaranda SDA Church Clinic,City Jacaranda SDA Church Clinic,Level 2,Dispensary,DISPENSARY,Seventh Day Adventist,Faith Based Organization,Kenya MPDB,2,0,Nairobi,Embakasi East,Embakasi East,Lower Savannah,Operational,No,No,No,No,Yes,Yes,No
2983,23434,Riverview Hospital and Maternity,Riverview Hospital and Maternity,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - Private Company,Private Practice,Kenya MPDB,12,4,Nairobi,Embakasi East,Embakasi East,Utawala,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
